term_str,n,n_chars,p,i,n_pos,max_pos,stop,stem_porter,stem_snowball,stem_lancaster,p2,h,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
fighting,104,8,9.399413621196401e-05,13.377069716814527,2,VBG,0,fight,fight,fight,0.003564695801199657,0.0012573661130792035,1,0,0,0,0,1,0,0,0,0,-1
deserted,103,8,9.309034644069512e-05,13.3910089077724,1,VBN,0,desert,desert,desert,0.003530419880034276,0.001246573658414967,1,0,1,1,0,1,0,1,0,0,-1
cage,103,4,9.309034644069512e-05,13.3910089077724,1,NN,0,cage,cage,cag,0.003530419880034276,0.001246573658414967,0,0,0,0,0,1,0,1,0,0,-1
trembling,102,9,9.218655666942624e-05,13.405084092984124,1,VBG,0,trembl,trembl,trembl,0.0034961439588688946,0.001235768544396305,0,0,0,1,0,1,0,0,0,0,-1
force,102,5,9.218655666942624e-05,13.405084092984124,1,NN,0,forc,forc,forc,0.0034961439588688946,0.001235768544396305,1,0,0,1,0,1,0,0,0,0,-1
pretty,102,6,9.218655666942624e-05,13.405084092984124,1,RB,0,pretti,pretti,pretty,0.0034961439588688946,0.001235768544396305,0,1,0,0,1,0,1,0,0,1,1
garden,101,6,9.128276689815735e-05,13.419297952203825,1,NN,0,garden,garden,gard,0.0034618680377035134,0.001224950646907942,0,0,0,0,1,0,1,0,0,0,1
unable,101,6,9.128276689815735e-05,13.419297952203825,2,JJ,0,unabl,unabl,un,0.0034618680377035134,0.001224950646907942,0,0,0,0,0,1,0,1,0,0,-1
gray,101,4,9.128276689815735e-05,13.419297952203825,2,NN,0,gray,gray,gray,0.0034618680377035134,0.001224950646907942,0,0,1,0,0,0,0,1,0,0,0
frowning,101,8,9.128276689815735e-05,13.419297952203825,1,VBG,0,frown,frown,frown,0.0034618680377035134,0.001224950646907942,1,0,1,0,0,1,0,1,0,0,-1
fall,100,4,9.037897712688847e-05,13.433653245180896,1,NN,0,fall,fall,fal,0.003427592116538132,0.0012141198393767552,0,0,0,0,0,1,0,1,0,0,-1
anger,100,5,9.037897712688847e-05,13.433653245180896,1,NN,0,anger,anger,ang,0.003427592116538132,0.0012141198393767552,1,0,0,0,0,1,0,0,0,0,-1
save,100,4,9.037897712688847e-05,13.433653245180896,2,VB,0,save,save,sav,0.003427592116538132,0.0012141198393767552,0,0,0,0,1,0,1,0,0,1,1
falling,99,7,8.947518735561958e-05,13.44815281487601,1,VBG,0,fall,fall,fal,0.0033933161953727505,0.0012032759926980338,0,0,0,0,0,1,0,1,0,0,-1
deal,98,4,8.85713975843507e-05,13.462799590840412,1,NN,0,deal,deal,deal,0.0033590402742073693,0.00119241897515876,0,1,0,0,1,0,1,0,1,1,1
lucky,97,5,8.766760781308182e-05,13.477596592768492,2,JJ,0,lucki,lucki,lucky,0.003324764353041988,0.001181548652357756,0,0,0,0,1,0,1,0,1,0,1
problem,96,7,8.676381804181293e-05,13.492546934234463,1,NN,0,problem,problem,problem,0.003290488431876607,0.0011706648871225398,0,0,0,1,0,1,0,1,0,0,-1
luck,96,4,8.676381804181293e-05,13.492546934234463,1,NN,0,luck,luck,luck,0.003290488431876607,0.0011706648871225398,0,1,0,0,1,0,1,0,1,0,1
row,95,3,8.586002827054405e-05,13.507653826624672,1,NN,0,row,row,row,0.0032562125107112256,0.001159767539422717,1,0,0,0,0,1,0,0,0,0,-1
frightened,93,10,8.405244872800628e-05,13.538350623847588,2,VBN,0,frighten,frighten,fright,0.0031876606683804627,0.0011379315216727213,0,0,0,1,0,1,0,0,1,0,-1
scream,93,6,8.405244872800628e-05,13.538350623847588,1,NN,0,scream,scream,scream,0.0031876606683804627,0.0011379315216727213,1,0,1,1,0,1,0,0,1,0,-1
screaming,93,9,8.405244872800628e-05,13.538350623847588,1,VBG,0,scream,scream,screaming,0.0031876606683804627,0.0011379315216727213,1,0,1,1,0,1,0,0,0,0,-1
nervous,91,7,8.224486918546851e-05,13.569714794756923,1,JJ,0,nervou,nervous,nerv,0.0031191088260497,0.0011160394181788998,0,1,0,1,0,1,0,0,0,0,-1
fault,90,5,8.134107941419963e-05,13.585656338625945,1,NN,0,fault,fault,fault,0.003084832904884319,0.0011050719511341977,0,0,0,0,0,1,0,1,0,0,-1
hearing,90,7,8.134107941419963e-05,13.585656338625945,3,NN,0,hear,hear,hear,0.003084832904884319,0.0011050719511341977,0,0,0,1,0,1,0,0,0,0,-1
teach,90,5,8.134107941419963e-05,13.585656338625945,2,NN,0,teach,teach,teach,0.003084832904884319,0.0011050719511341977,0,0,0,0,1,0,1,0,1,1,1
rising,88,6,7.953349987166186e-05,13.618077816318323,1,VBG,0,rise,rise,ris,0.003016281062553556,0.0010830933902564344,0,1,0,0,1,0,1,0,0,0,1
dungeon,88,7,7.953349987166186e-05,13.618077816318323,1,NN,0,dungeon,dungeon,dungeon,0.003016281062553556,0.0010830933902564344,0,0,0,1,0,1,0,0,0,0,-1
badly,88,5,7.953349987166186e-05,13.618077816318323,1,RB,0,badli,bad,bad,0.003016281062553556,0.0010830933902564344,0,0,0,0,0,1,0,1,0,0,-1
hollow,87,6,7.862971010039297e-05,13.634565939106892,1,NN,0,hollow,hollow,hollow,0.002982005141388175,0.001072081967136667,0,0,0,0,0,1,0,1,0,0,-1
shining,86,7,7.772592032912409e-05,13.651244680253521,1,VBG,0,shine,shine,shin,0.0029477292202227936,0.0010610555564107642,0,1,0,0,1,0,1,0,0,0,1
danger,86,6,7.772592032912409e-05,13.651244680253521,1,NN,0,danger,danger,dang,0.0029477292202227936,0.0010610555564107642,0,0,0,1,0,1,0,1,0,0,-1
excitement,86,10,7.772592032912409e-05,13.651244680253521,1,NN,0,excit,excit,excit,0.0029477292202227936,0.0010610555564107642,0,1,0,0,1,0,1,0,1,0,1
stunned,85,7,7.68221305578552e-05,13.668118498817918,1,VBN,0,stun,stun,stun,0.002913453299057412,0.0010500139837964259,0,0,0,1,0,1,0,0,1,0,-1
familiar,85,8,7.68221305578552e-05,13.668118498817918,2,JJ,0,familiar,familiar,famili,0.002913453299057412,0.0010500139837964259,0,0,0,0,0,0,1,0,0,1,1
bang,84,4,7.591834078658632e-05,13.68519201217686,2,NN,0,bang,bang,bang,0.0028791773778920307,0.0010389570709103118,1,0,1,1,0,1,0,1,1,0,-1
escape,84,6,7.591834078658632e-05,13.68519201217686,1,NN,0,escap,escap,escap,0.0028791773778920307,0.0010389570709103118,0,1,0,1,0,1,1,0,0,0,0
smell,83,5,7.501455101531742e-05,13.702470003608695,1,NN,0,smell,smell,smel,0.0028449014567266495,0.0010278846351215612,1,0,1,0,0,1,0,0,0,0,-1
furious,83,7,7.501455101531742e-05,13.702470003608695,1,JJ,0,furiou,furious,fury,0.0028449014567266495,0.0010278846351215612,1,0,1,0,0,1,0,0,0,0,-1
sick,82,4,7.411076124404854e-05,13.719957430337535,2,NN,0,sick,sick,sick,0.0028106255355612683,0.001016796489398255,0,0,1,0,0,1,0,1,0,0,-1
detention,82,9,7.411076124404854e-05,13.719957430337535,1,NN,0,detent,detent,det,0.0028106255355612683,0.001016796489398255,0,0,0,0,0,1,0,1,0,0,-1
interested,81,10,7.320697147277967e-05,13.737659432070995,1,JJ,0,interest,interest,interest,0.002776349614395887,0.0010056924421463838,0,0,1,0,0,0,1,1,0,0,1
sun,81,3,7.320697147277967e-05,13.737659432070995,2,NN,0,sun,sun,sun,0.002776349614395887,0.0010056924421463838,0,1,0,0,1,0,1,0,1,1,1
brilliant,81,9,7.320697147277967e-05,13.737659432070995,2,NN,0,brilliant,brilliant,bril,0.002776349614395887,0.0010056924421463838,0,1,0,0,1,0,1,0,0,1,1
birthday,80,8,7.230318170151077e-05,13.755581340068257,1,NN,0,birthday,birthday,birthday,0.0027420736932305054,0.0009945722970408663,0,1,0,0,1,0,1,0,1,0,1
